sample_id,pop,lat,lon,q_BSwest,q_BSmideast,q_RS,locality
RNL1,BS_introg,50.9,-56.1,1.00E-05,0.861775,0.138215,Roddickton
RON1,BS_mideast,46.92,-79.7,1.00E-05,0.99998,1.00E-05,Rabbit Lake South Landing
RPA1,RS_introg,40.7,-77.7,1.00E-05,0.118396,0.881594,Rothrock State Forest
RPA2,RS_introg,40.7,-77.7,1.00E-05,0.202141,0.797849,Rothrock State Forest
RPA3,RS_introg,40.7,-77.7,1.00E-05,0.211499,0.788491,Rothrock State Forest
RQC1,BS_mideast,50.45,-73.63333333,1.00E-05,0.99998,1.00E-05,Riviere Chalifour
RYU1,BS_west,60.17,-130.52,0.999972,1.80E-05,1.00E-05,Rancheria
RYU2,BS_west,60.17,-130.52,0.99998,1.00E-05,1.00E-05,Rancheria
SBC1,BS_west,58.7,-123.6,0.99998,1.00E-05,1.00E-05,Summit Lake
SMB1,BS_west,52.48333333,-101.4333333,0.555019,0.444971,1.00E-05,Scottys Lake
SNB1,BS_introg,47.7,-68.31666667,1.00E-05,0.963577,0.036413,Sweeney Settlement
SNC1,BS_mideast,44.633333,-84.333333,0.018121,0.981869,1.00E-05,Smokies
SNC2,RS_pure,35.6,-83.45,1.00E-05,1.00E-05,0.99998,Smokies
SNL1,BS_introg,48.21666667,-58.91666667,1.00E-05,0.983048,0.016942,Saint Davids
SON1,BS_mideast,50.25,-91.66666667,1.00E-05,0.99998,1.00E-05,Sioux Lookout
SON2,BS_mideast,50.25,-91.66666667,0.055199,0.944791,1.00E-05,Sioux Lookout
SQC1,RS_pure,46.9,-71.5,1.00E-05,1.00E-05,0.99998,Shannon near Quebec City
SQC2,RS_introg,46.9,-71.5,1.00E-05,0.050959,0.949031,Shannon near Quebec City
TON1,BS_mideast,48.53333333,-81.41666667,0.007844,0.992146,1.00E-05,Timmins
TQC1,BS_mideast,48.36666667,-76.95,1.00E-05,0.99998,1.00E-05,Tiblemont
TSK1,BS_west,56.05,-108.7,0.99998,1.00E-05,1.00E-05,Taylor Lake
TSK2,BS_west,56.05,-108.7,0.99998,1.00E-05,1.00E-05,Taylor Lake
TYU1,BS_west,64.56666667,-135.9166667,0.99998,1.00E-05,1.00E-05,Tombstone Territorial Park
UON1,BS_mideast,49,-90.45,1.00E-05,0.99998,1.00E-05,Upsala
UON2,BS_mideast,49,-90.45,0.007809,0.992181,1.00E-05,Upsala
VQC1,RS_introg,46.5,-75.3,1.00E-05,0.032073,0.967917,Val Barrette
WMB1,BS_mideast,49.28333333,-96.3,0.061769,0.938221,1.00E-05,Sandilands near Winnipeg
WMN1,BS_mideast,47.7,-91.3,1.00E-05,0.99998,1.00E-05,Wheeler Landing
WON1,BS_mideast,48.63333333,-85.33333333,1.00E-05,0.99998,1.00E-05,White River
WSK1,BS_west,54.7,-107.8,0.99998,1.00E-05,1.00E-05,Waterhen River
WYU1,BS_west,60.8,-135.18,0.99998,1.00E-05,1.00E-05,Whitehorse
